# Halpha LF from Sobral et al. (2013) Table 4
#
# Columns:
# redshift  logLHα  logLHαErr   Sources	phiObs   phiObsErr   phiCorr     phiCorrErr	 Volume
#                                       (Mpc-3)	             (Mpc-3)	               (10^4 Mpc3)
# z = 0.40				
0.4  40.50   0.05	128	-1.84   0.04	-1.66   0.04	8.8
0.4  40.60   0.05	147	-1.78   0.04	-1.70   0.04	8.8
0.4  40.70   0.05	118	-1.87   0.04	-1.81   0.04	8.8
0.4  40.80   0.05	86	-2.01   0.05	-1.93   0.05	8.8
0.4  40.90   0.05	56	-2.20   0.06	-1.96   0.07	8.8
0.4  41.00   0.05	54	-2.21   0.06	-2.03   0.07	8.8
0.4  41.10   0.05	34	-2.41   0.08	-2.12   0.09	8.8
0.4  41.20   0.05	36	-2.39   0.08	-2.27   0.08	8.8
0.4  41.30   0.05	33	-2.43   0.08	-2.29   0.09	8.8
0.4  41.40   0.05	25	-2.55   0.10	-2.42   0.10	8.8
0.4  41.50   0.05	25	-2.55   0.10	-2.46   0.11	8.8
0.4  41.60   0.05	17	-2.71   0.12	-2.57   0.13	8.8
0.4  41.70   0.05	10	-2.94   0.17	-2.69   0.19	8.8
0.4  41.80   0.05	11	-2.90   0.16	-2.73   0.17	8.8
0.4  41.90   0.05	8	-3.04   0.19	-2.88   0.20	8.8
0.4  42.00   0.05	4	-3.34   0.30	-3.03   0.35	8.8
0.4  42.20   0.10	3	-3.45   0.36	-3.56   0.51	8.8
0.4  42.50   0.15	2	-3.64   0.53	-3.71   0.71	8.8
# z = 0.84					      	
0.84  41.70   0.075	218	-2.12   0.03	-1.93   0.03	19.1
0.84  41.85   0.075	222	-2.11   0.03	-2.02   0.03	19.1
0.84  42.00   0.075	107	-2.43   0.04	-2.18   0.04	19.1
0.84  42.15   0.075	54	-2.72   0.06	-2.43   0.06	19.1
0.84  42.30   0.075	12	-3.38   0.15	-2.73   0.17	19.1
0.84  42.45   0.075	10	-3.46   0.17	-3.01   0.17	19.1
0.84  42.60   0.075	7	-3.61   0.21	-3.27   0.21	19.1
0.84  42.75   0.075	2	-4.16   0.53	-3.79   0.55	19.1
0.84  42.90   0.075	1	-4.46   0.90	-4.13   1.51	19.1
# z = 1.47							      	
1.47  42.10   0.05	25	-2.20   0.10	-2.13   0.10	4.0
1.47  42.20   0.05	32	-2.37   0.08	-2.25   0.09	7.5
1.47  42.30   0.05	62	-2.55   0.06	-2.34   0.06	22.1
1.47  42.40   0.05	86	-2.67   0.05	-2.47   0.05	40.2
1.47  42.50   0.05	101	-2.78   0.05	-2.62   0.05	60.4
1.47  42.60   0.05	106	-2.83   0.04	-2.73   0.04	71.4
1.47  42.70   0.05	43	-3.23   0.07	-2.91   0.08	73.6
1.47  42.80   0.05	23	-3.50   0.10	-3.18   0.11	73.6
1.47  42.90   0.05	9	-3.91   0.18	-3.55   0.18	73.6
1.47  43.00   0.05	5	-4.17   0.26	-3.81   0.26	73.6
1.47  43.10   0.05	3	-4.39   0.37	-4.22   0.38	73.6
1.47  43.20   0.05	2	-4.57   0.53	-4.55   0.55	73.6
1.47  43.40   0.15	2	-4.57   0.53	-4.86   0.55	73.6
# z = 2.23									      	
2.23	42.00   0.075	8	-2.18   0.19	-1.93   0.19 	0.8
2.23	42.15   0.075	11	-2.34   0.16	-2.07   0.16 	1.6
2.23	42.30   0.05	47	-2.24   0.07	-2.19   0.07 	6.7
2.23	42.40   0.05	91	-2.36   0.05	-2.31   0.05 	20.9
2.23	42.50   0.05	107	-2.48   0.04	-2.41   0.05 	32.7
2.23	42.60   0.05	158	-2.60   0.04	-2.50   0.04 	63.3
2.23	42.70   0.05	163	-2.68   0.04	-2.59   0.05 	77.2
2.23	42.80   0.05	100	-2.89   0.05	-2.73   0.06 	77.2
2.23	42.90   0.05	51	-3.18   0.07	-2.88   0.14 	77.2
2.23	43.00   0.05	30	-3.41   0.09	-3.09   0.17 	77.2
2.23	43.10   0.05	16	-3.68   0.12	-3.33   0.22 	77.2
2.23	43.20   0.05	7	-4.04   0.21	-3.67   0.31 	77.2
2.23	43.30   0.05	3	-4.41   0.37	-4.01   0.51 	77.2
2.23	43.40   0.05	2	-4.59   0.53	-4.22   0.68 	77.2
2.23	43.60   0.15	3	-4.41   0.37	-4.63   0.41 	77.2
