# Counts from Mehta et al. (2015) Tables 4 and 5
#
# H-alpha CUMULATIVE counts WITH NII CORRECTION
# flux in units 10^16 erg/s/cm^2
# incNII  flux		 0.8<z<1.2	    1.85<z<2.2          0.7<z<1.5	   1.5<z<2.0	       0.7<z<2.0
1 	  1.0    	 5578 +485 -273     3730 +111 -1465     9665 +873 -140     9813 +983 -2526     19478 +1315 -2530 
1	  2.0   	 2015 +249 -263     976 +91 -539        3505 +447 -168     2848 +60 -942       6353 +451 -939 
1	  3.0    	 1004 +159 -188     420 +68 -273        1769 +233 -97      1282 +66 -492       3052 +242 -502 
1	  5.0    	 369 +98 -97        136 +25 -99         672 +77 -87        440 +23 -216        1113 +80 -233 
1	  7.5    	 151 +61 -58        52 +14 -42          285 +49 -62        179 +14 -106        464 +50 -122 
1	  10.0     	 76 +34 -35    	    25 +10 -21          147 +36 -43        91 +10 -58          238 +37 -72
# H-alpha CUMULATIVE counts WITHOUT NII CORRECTION
# flux in units 10^16 erg/s/cm^2
# incNII  flux		 0.8<z<1.2	    1.85<z<2.2          0.7<z<1.5	   1.5<z<2.0	       0.7<z<2.0  
0 	  1.0    	 8614 +823 -175     6736 +1261 -2137    15001 +982 -643    16924 +5461 -3175   31925 +5548 -3239   
0	  2.0    	 3417 +292 -233     1922 +450 -737      5917 +580 -277     5365 +953 -1298     11282 +1116 -1328   
0	  3.0    	 1817 +112 -158     857 +211 -392      	3166 +369 -208     2524 +252 -815      5690 +446 -841   
0	  5.0    	 733 +95 -258       291 +140 -169      	1303 +151 -173     908 +190 -422       2212 +243 -456   
0	  7.5    	 323 +67 -93        117 +78 -77      	591 +72 -100       384 +132 -211       975 +151 -234   
0	  10.0     	 171 +37 -58        59 +52 -43      	321 +42 -70        202 +83 -121        524 +93 -140  
